('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1636902 function calls (1616083 primitive calls) in 3.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
     2498    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      114    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      107    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      138    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.001    0.001 message.py:135(Message)
        1    0.000    0.000    0.001    0.001 __init__.py:444(PercentStyle)
      729    0.000    0.000    0.001    0.000 enum.py:1587(_get_value)
      990    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      724    0.000    0.000    0.001    0.000 typing.py:1294(_is_dunder)
        1    0.000    0.000    0.001    0.001 client.py:231(_parse_header_lines)
       10    0.000    0.000    0.001    0.000 request.py:408(add_handler)
     1669    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       88    0.000    0.000    0.001    0.000 enum.py:1594(__or__)
        1    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
        1    0.000    0.000    0.001    0.001 _html5lib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dammit.py:734(UnicodeDammit)
      727    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      187    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2383(_IPv6Constants)
        1    0.000    0.000    0.001    0.001 parser.py:41(parse)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
       86    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
        1    0.000    0.000    0.001    0.001 request.py:289(__init__)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2307(__init__)
      412    0.000    0.000    0.001    0.000 _parser.py:264(getwhile)
      255    0.000    0.000    0.001    0.000 enum.py:695(__call__)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
     3344    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.001    0.001 _lxml.py:1(<module>)
  685/637    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.001    0.001 request.py:313(full_url)
      322    0.000    0.000    0.001    0.000 css_parser.py:248(css_unescape)
        1    0.000    0.000    0.001    0.001 request.py:344(_parse)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
        5    0.000    0.000    0.001    0.000 feedparser.py:173(feed)
       75    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.001    0.001 request.py:910(AbstractBasicAuthHandler)
      285    0.000    0.000    0.001    0.000 css_parser.py:344(match)
        5    0.000    0.000    0.000    0.000 filter.py:378(__init__)
  179/146    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      991    0.000    0.000    0.000    0.000 socket.py:744(readable)
      306    0.000    0.000    0.000    0.000 enum.py:827(__setattr__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1579(_IPv4Constants)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       14    0.000    0.000    0.000    0.000 typing.py:1023(__init__)
       53    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
      130    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
       88    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 dammit.py:485(EncodingDetector)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
